"question","pprom_pre","pprom_post","hiv_pre","hiv_post","rfm_pre","rfm_post","hbsag_pre","hbsag_post","rh_pre","rh_post","teen_pre","teen_post","pt_pre","pt_post"
"Q 1","45.2","55.8","65.7","91.7","76.7","66.7","64.7","80.4","84.1","92.1","86.5","92.1","96.0","95.2"
"Q 2","78.8","82.3","95.2","96.0","96.4","97.1","98.6","98.2","68.5","72.7","91.9","97.0","86.0","93.5"
"Q 3","93.5","96.5","71.5","89.1","89.3","92.4","95.6","96.4","95.8","96.7","95.1","98.5","95.0","96.0"
"Q 4","42.5","63.5","83.0","90.7","96.4","96.4","94.6","97.6","94.8","96.9","91.0","97.2","93.5","95.8"
"Q 5","42.9","47.1","97.2","97.4","89.6","94.4","95.4","97.8","67.4","77.0","82.7","89.7","93.5","95.6"
"Q 6","74.0","87.7","95.8","96.4","93.8","96.7","91.0","96.4","97.1","97.3","64.3","65.8","53.7","57.9"
"Q 7","83.7","93.8","28.1","54.7","82.4","90.2","92.6","93.2","93.3","97.7","79.3","90.2","93.5","96.9"
"Q 8","95.8","96.9","96.0","97.0","75.1","86.7","98.0","98.6","68.3","83.1","23.9","54.7","88.5","94.5"
"Q 9","85.8","86.9","46.3","46.3","0.0","0.0","91.8","93.2","92.9","95.6","92.3","95.9","91.8","95.2"
"Q 10","88.5","93.5","78.6","85.7","0.0","0.0","77.4","87.4","77.2","89.1","86.1","91.2","78.4","89.3"
