"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Alluri Sitaram Raju","ane",6.8,1.9,68,7.3,1.8,73.5,4.8e-05
"Alluri Sitaram Raju","aph",8,1.7,79.6,8.5,1.5,84.9,0.001014
"Alluri Sitaram Raju","epi",6.4,1.5,63.8,6.6,1.7,65.9,0.200725
"Alluri Sitaram Raju","gdm",4.5,1.5,44.9,5.6,1.5,56.3,0
"Alluri Sitaram Raju","htn",7.5,1.6,75.1,7.7,1.6,77,0.112153
"Alluri Sitaram Raju","qanc",7.2,1.4,72.1,8,1.4,80.4,0
"Kurnool","ane",7.5,1.6,74.9,8.5,1.3,85.1,0
"Kurnool","aph",8.4,1.4,84.2,9.1,1.1,90.7,0
"Kurnool","epi",6.6,1.4,65.7,7.6,1.4,75.6,0
"Kurnool","gdm",5.3,1.4,52.7,7,1.6,69.9,0
"Kurnool","htn",8,1.5,80.1,8.7,1.1,87.2,0
"Kurnool","qanc",7.4,1.4,73.8,8.9,1.1,88.9,0
"Parvatipuram Manyam","ane",7.5,1.8,75.2,8.1,1.5,81,8e-06
"Parvatipuram Manyam","aph",8.4,1.3,84.1,8.7,1.2,87.5,0.001359
"Parvatipuram Manyam","epi",6.6,1.5,65.5,6.9,1.4,69.2,0.002728
"Parvatipuram Manyam","gdm",5.2,1.5,52,5.9,1.6,59.4,0
"Parvatipuram Manyam","htn",7.9,1.6,78.7,8.3,1.5,82.7,0.001275
"Parvatipuram Manyam","qanc",7.5,1.3,75.3,8.1,1.3,80.6,1e-06
"Prakasam","ane",7.8,1.6,77.7,8.1,1.6,80.7,0.001906
"Prakasam","aph",8,1.5,80.5,8.6,1.4,86.3,0
"Prakasam","epi",6.7,1.6,67,7,1.6,69.7,0.001204
"Prakasam","gdm",5,1.6,50.1,5.9,1.6,59.1,0
"Prakasam","htn",8.4,1.4,83.5,8.7,1.3,86.5,2.9e-05
"Prakasam","qanc",7.4,1.5,74.3,8.3,1.3,82.9,0
"Srikakulam","ane",7.4,1.7,73.6,8.3,1.4,82.5,0
"Srikakulam","aph",8.2,1.5,81.6,8.9,1.2,88.5,0
"Srikakulam","epi",6.2,1.6,62,7.3,1.6,72.7,0
"Srikakulam","gdm",5.1,1.5,51.1,6.6,1.5,65.5,0
"Srikakulam","htn",7.6,1.5,75.9,8.4,1.3,83.9,0
"Srikakulam","qanc",7.4,1.4,74.2,8.7,1.2,87.3,0
"Overall Average","ane",7.4,1.7,74.2,8.1,1.6,81.3,NA
"Overall Average","aph",8.2,1.5,82.1,8.8,1.3,88.1,NA
"Overall Average","epi",6.5,1.5,64.8,7.2,1.6,71.6,NA
"Overall Average","gdm",5.1,1.5,50.9,6.3,1.6,63.4,NA
"Overall Average","htn",7.9,1.5,78.9,8.4,1.4,84.2,NA
"Overall Average","qanc",7.4,1.4,73.9,8.5,1.3,84.9,NA
